time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,number_of_children,point_score,average_point_score,elg_number,elg_percent,gld_number,gld_percent,comm_lang_lit_number,comm_lang_lit_percent
Academic year,201819,National,E92000001,England, , , , , ,Total,638995,22090148,34.6,451563,70.7,458847,71.8,463869,72.6
Academic year,201819,National,E92000001,England, , , , , ,Girls,311553,11138225,35.8,241846,77.6,244297,78.4,246479,79.1
Academic year,201819,National,E92000001,England, , , , , ,Boys,327442,10951923,33.4,209717,64,214550,65.5,217390,66.4
Academic year,201819,Regional,E92000001,England,E12000001,North East, , , ,Total,29024,1016018,35,20582,70.9,20843,71.8,21036,72.5
Academic year,201819,Regional,E92000001,England,E12000001,North East, , , ,Girls,14053,510673,36.3,10925,77.7,11003,78.3,11086,78.9
Academic year,201819,Regional,E92000001,England,E12000001,North East, , , ,Boys,14971,505345,33.8,9657,64.5,9840,65.7,9950,66.5
Academic year,201819,Regional,E92000001,England,E12000002,North West, , , ,Total,86283,2929276,33.9,58158,67.4,59456,68.9,60129,69.7
Academic year,201819,Regional,E92000001,England,E12000002,North West, , , ,Girls,42018,1479689,35.2,31438,74.8,31905,75.9,32201,76.6
Academic year,201819,Regional,E92000001,England,E12000002,North West, , , ,Boys,44265,1449587,32.7,26720,60.4,27551,62.2,27928,63.1
Academic year,201819,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , , ,Total,63594,2188276,34.4,43751,68.8,44541,70,44926,70.6
Academic year,201819,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , , ,Girls,31048,1106534,35.6,23630,76.1,23900,77,24079,77.6
Academic year,201819,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , , ,Boys,32546,1081742,33.2,20121,61.8,20641,63.4,20847,64.1
Academic year,201819,Regional,E92000001,England,E12000004,East Midlands, , , ,Total,54537,1865917,34.2,37640,69,38343,70.3,38758,71.1
Academic year,201819,Regional,E92000001,England,E12000004,East Midlands, , , ,Girls,26680,944937,35.4,20302,76.1,20555,77,20726,77.7
Academic year,201819,Regional,E92000001,England,E12000004,East Midlands, , , ,Boys,27857,920980,33.1,17338,62.2,17788,63.9,18032,64.7
Academic year,201819,Regional,E92000001,England,E12000005,West Midlands, , , ,Total,71248,2409100,33.8,48963,68.7,49965,70.1,50487,70.9
Academic year,201819,Regional,E92000001,England,E12000005,West Midlands, , , ,Girls,34883,1221977,35,26408,75.7,26754,76.7,26990,77.4
Academic year,201819,Regional,E92000001,England,E12000005,West Midlands, , , ,Boys,36365,1187123,32.6,22555,62,23211,63.8,23497,64.6
Academic year,201819,Regional,E92000001,England,E12000006,East of England, , , ,Total,71815,2475608,34.5,51005,71,51915,72.3,52590,73.2
Academic year,201819,Regional,E92000001,England,E12000006,East of England, , , ,Girls,35000,1246169,35.6,27349,78.1,27664,79,27953,79.9
Academic year,201819,Regional,E92000001,England,E12000006,East of England, , , ,Boys,36815,1229439,33.4,23656,64.3,24251,65.9,24637,66.9
Academic year,201819,Regional,E92000001,England,E12000008,South East, , , ,Total,102434,3632433,35.5,75631,73.8,76434,74.6,77308,75.5
Academic year,201819,Regional,E92000001,England,E12000008,South East, , , ,Girls,49849,1822734,36.6,40127,80.5,40394,81,40756,81.8
Academic year,201819,Regional,E92000001,England,E12000008,South East, , , ,Boys,52585,1809699,34.4,35504,67.5,36040,68.5,36552,69.5
Academic year,201819,Regional,E92000001,England,E12000009,South West, , , ,Total,59062,2053781,34.8,42085,71.3,42553,72,43089,73
Academic year,201819,Regional,E92000001,England,E12000009,South West, , , ,Girls,28943,1035487,35.8,22566,78,22681,78.4,22926,79.2
Academic year,201819,Regional,E92000001,England,E12000009,South West, , , ,Boys,30119,1018294,33.8,19519,64.8,19872,66,20163,66.9
Academic year,201819,Regional,E92000001,England,E13000001,Inner London, , , ,Total,34623,1197449,34.6,24977,72.1,25364,73.3,25654,74.1
Academic year,201819,Regional,E92000001,England,E13000001,Inner London, , , ,Girls,16945,606751,35.8,13407,79.1,13527,79.8,13651,80.6
Academic year,201819,Regional,E92000001,England,E13000001,Inner London, , , ,Boys,17678,590698,33.4,11570,65.4,11837,67,12003,67.9
Academic year,201819,Regional,E92000001,England,E13000002,Outer London, , , ,Total,66375,2322290,35,48771,73.5,49433,74.5,49892,75.2
Academic year,201819,Regional,E92000001,England,E13000002,Outer London, , , ,Girls,32134,1163274,36.2,25694,80,25914,80.6,26111,81.3
Academic year,201819,Regional,E92000001,England,E13000002,Outer London, , , ,Boys,34241,1159016,33.8,23077,67.4,23519,68.7,23781,69.5
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,1198,40876,34.1,843,70.4,859,71.7,865,72.2
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Girls,571,20336,35.6,442,77.4,450,78.8,453,79.3
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Boys,627,20540,32.8,401,64,409,65.2,412,65.7
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Total,5420,191188,35.3,3842,70.9,3890,71.8,3926,72.4
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Girls,2637,96722,36.7,2055,77.9,2065,78.3,2078,78.8
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Boys,2783,94466,33.9,1787,64.2,1825,65.6,1848,66.4
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,2109,78204,37.1,1529,72.5,1547,73.4,1568,74.3
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Girls,1070,41229,38.5,847,79.2,854,79.8,864,80.7
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Boys,1039,36975,35.6,682,65.6,693,66.7,704,67.8
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,1080,37400,34.6,772,71.5,780,72.2,791,73.2
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Girls,530,19079,36,419,79.1,422,79.6,426,80.4
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Boys,550,18321,33.3,353,64.2,358,65.1,365,66.4
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,1948,62586,32.1,1197,61.4,1230,63.1,1233,63.3
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Girls,949,31530,33.2,640,67.4,652,68.7,653,68.8
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Boys,999,31056,31.1,557,55.8,578,57.9,580,58.1
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,3193,110955,34.7,2230,69.8,2247,70.4,2261,70.8
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Girls,1563,55909,35.8,1183,75.7,1192,76.3,1198,76.6
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Boys,1630,55046,33.8,1047,64.2,1055,64.7,1063,65.2
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,2384,83555,35,1691,70.9,1717,72,1743,73.1
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Girls,1143,41411,36.2,877,76.7,883,77.3,897,78.5
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Boys,1241,42144,34,814,65.6,834,67.2,846,68.2
Academic year,201819,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,3098,110626,35.7,2303,74.3,2316,74.8,2341,75.6
